NCT Number,Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Start Date,Completion Date
NCT05669261,NOT_YET_RECRUITING,Long COVID,PROCEDURE: Adipose Tissue Harvest|BIOLOGICAL: ATCell,American CryoStem Corporation,,ALL,"ADULT, OLDER_ADULT",PHASE1,20,INDUSTRY,INTERVENTIONAL,8/1/2023,2/1/2024
NCT04590261,NOT_YET_RECRUITING,Covid-19; SARS-Cov2,OTHER: Blood sampling|OTHER: Nasal Brushing,Assistance Publique - Hôpitaux de Paris,"Institut National de la Santé Et de la Recherche Médicale, France",ALL,"ADULT, OLDER_ADULT",NA,120,OTHER,INTERVENTIONAL,2022-12,2025-12
NCT04391829,UNKNOWN,COVID-19|Sars-CoV2|Corona Virus Infection|Semen,DIAGNOSTIC_TEST: Ejaculated semen sample,Universitair Ziekenhuis Brussel,,MALE,ADULT,NA,20,OTHER,INTERVENTIONAL,8/31/2020,8/31/2021
NCT04806529,WITHDRAWN,Influenza,DRUG: Adjuvanted SARS-CoV-2 Subunit vaccine (aCoV2)|DRUG: Comparator,Seqirus,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,0,INDUSTRY,INTERVENTIONAL,12/15/2020,4/9/2022
NCT04425629,TERMINATED,COVID-19,DRUG: casirivimab+imdevimab combination therapy,Regeneron Pharmaceuticals,,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,10078,INDUSTRY,INTERVENTIONAL,6/16/2020,6/9/2022
NCT06042777,NOT_YET_RECRUITING,Long Covid19,BEHAVIORAL: Acupuncture and TCM-based lifestyle management,The Hong Kong Polytechnic University,,ALL,"ADULT, OLDER_ADULT",NA,100,OTHER,INTERVENTIONAL,9/30/2023,8/31/2024
NCT04345861,TERMINATED,"Coronavirus Infection|Pneumonia, Viral",DRUG: Hydroxychloroquine + placebo|DRUG: hydroxychloroquine + azithromycin,"University Hospital, Montpellier",,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,7,OTHER,INTERVENTIONAL,4/11/2020,4/9/2021
NCT05024461,UNKNOWN,Covid19,DIAGNOSTIC_TEST: Salivary test for COVID19,Centre Hospitalier de Cayenne,,ALL,"CHILD, ADULT, OLDER_ADULT",NA,1159,OTHER,INTERVENTIONAL,8/10/2020,11/12/2021
NCT04348461,SUSPENDED,COVID|Respiratory Distress Syndrome,DRUG: Allogeneic and expanded adipose tissue-derived mesenchymal stromal cells,Instituto de Investigación Sanitaria de la Fundación Jiménez Díaz,"Instituto de Investigación Sanitaria y Biomédica de Alicante|Hospital General Universitario Gregorio Marañon|Clinica Universidad de Navarra, Universidad de Navarra|University of Salamanca|Hospital General Universitario de Alicante|Hospital Clínico Universitario Virgen de la Arrixaca",ALL,"ADULT, OLDER_ADULT",PHASE2,100,OTHER,INTERVENTIONAL,5/6/2020,9/30/2021
NCT05371561,COMPLETED,COVID-19|Infections|COVID-19 Virus Infection,DEVICE: reusable respirators,Fayoum University,,ALL,CHILD,NA,52,OTHER,INTERVENTIONAL,4/1/2022,5/1/2022
NCT04390061,UNKNOWN,"Pneumonitis, Interstitial|COVID-19",DRUG: Tofacitinib|DRUG: Hydroxychloroquine,Università Politecnica delle Marche,"Azienda Ospedaliera Ospedali Riuniti Marche Nord|Ospedale Civile Santo Spirito, Pescara|Università Magna Grecia, Catanzaro|ASST Papa Giovanni XXIII, Bergamo|Azienda Ospedaliero Universitaria Policlinico Umberto I, Roma|ASST Cremona, Cremona|Fondazione IRCCS Cà Granda, Ospedale Maggiore Policlinico, Milano|Ospedale di Circolo e Fondazione Macchi, Varese",ALL,"ADULT, OLDER_ADULT",PHASE2,116,OTHER,INTERVENTIONAL,2020-06,2020-10
NCT05524532,RECRUITING,Post Acute COVID-19 Syndrome,DIETARY_SUPPLEMENT: Immulina TM|DIETARY_SUPPLEMENT: Placebo,University of Mississippi Medical Center,National Institute of General Medical Sciences (NIGMS),ALL,"ADULT, OLDER_ADULT",NA,120,OTHER,INTERVENTIONAL,7/20/2023,3/31/2025
NCT04335032,UNKNOWN,SARS-CoV-2,DRUG: Eicosapentaenoic acid gastro-resistant capsules|DRUG: Placebo,S.L.A. Pharma AG,,ALL,"ADULT, OLDER_ADULT",PHASE3,284,INDUSTRY,INTERVENTIONAL,1/8/2021,12/1/2021
NCT04441918,UNKNOWN,COVID-19; and High Infection Risk of SARS-CoV-2,COMBINATION_PRODUCT: JS016 (anti-SARS-CoV-2 monoclonal antibody),"Shanghai Junshi Bioscience Co., Ltd.",,ALL,"CHILD, ADULT",PHASE1,40,OTHER,INTERVENTIONAL,6/5/2020,12/11/2020
NCT05525832,COMPLETED,SARS-CoV2 Infection,OTHER: Normal saline,Larissa University Hospital,,ALL,"ADULT, OLDER_ADULT",NA,50,OTHER,INTERVENTIONAL,6/1/2021,10/1/2021
NCT05212532,UNKNOWN,COVID-19 Pneumonia|COVID-19 Respiratory Infection|COVID-19 Acute Respiratory Distress Syndrome,DRUG: EOM613,EOM Pharmaceuticals,,ALL,"ADULT, OLDER_ADULT",PHASE1,40,INDUSTRY,INTERVENTIONAL,8/9/2021,3/30/2022
NCT05077332,ACTIVE_NOT_RECRUITING,2019 Novel Coronavirus Disease|2019 Novel Coronavirus Infection|2019-nCoV Disease|2019-nCoV Infection|COVID-19 Pandemic|COVID-19 Virus Disease|COVID-19 Virus Infection|Covid19|Coronavirus Disease 2019|SARS-CoV-2 Infection|SARS-CoV-2 Acute Respiratory Disease|COVID-19,DRUG: Famotidine|DRUG: Celecoxib|OTHER: Placebo,Leidos Life Sciences,United States Department of Defense,ALL,"ADULT, OLDER_ADULT",PHASE2,2000,INDUSTRY,INTERVENTIONAL,12/29/2021,2025-01
NCT04414618,COMPLETED,Coronavirus Infections,DRUG: Opaganib|DRUG: Placebo,RedHill Biopharma Limited,,ALL,"ADULT, OLDER_ADULT",PHASE2,42,INDUSTRY,INTERVENTIONAL,7/2/2020,12/23/2020
NCT04394377,COMPLETED,Coronavirus Infection,DRUG: Group 1: Rivaroxaban 20mg/d followed by enoxaparin/unfractionated heparin when needed|DRUG: Group 2: control group with enoxaparin 40mg/d,Brazilian Clinical Research Institute,Hospital Israelita Albert Einstein|Hospital do Coracao|Hospital Sirio-Libanes|Hospital Moinhos de Vento|Hospital Alemão Oswaldo Cruz|Beneficência Portuguesa de São Paulo|Brazilian Research In Intensive Care Network,ALL,"ADULT, OLDER_ADULT",PHASE4,615,OTHER,INTERVENTIONAL,6/21/2020,5/30/2021
NCT04364594,COMPLETED,COVID 19|Pulmonary Disease,DIAGNOSTIC_TEST: conjunctival swab,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,ALL,"ADULT, OLDER_ADULT",NA,50,OTHER,INTERVENTIONAL,3/26/2020,5/30/2020
NCT05677932,RECRUITING,Post COVID-19 Condition,DEVICE: Bright light therapy|DEVICE: Dim red light therapy,Chinese University of Hong Kong,,ALL,"ADULT, OLDER_ADULT",NA,36,OTHER,INTERVENTIONAL,2/15/2023,4/30/2024
NCT04445194,UNKNOWN,Coronavirus,BIOLOGICAL: Recombinant new coronavirus vaccine (CHO cell) low-dose group|BIOLOGICAL: Recombinant new coronavirus vaccine (CHO cells) high-dose group|BIOLOGICAL: Recombinant new coronavirus vaccine (CHO cells) placebo group,"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.",The Second Affiliated Hospital of Chongqing Medical University|Beijing Chao Yang Hospital,ALL,ADULT,PHASE1,50,INDUSTRY,INTERVENTIONAL,6/22/2020,9/20/2021
NCT04743232,SUSPENDED,Covid19|Cardiac Arrest,OTHER: Decision tool for clinicians,Erasmus Medical Center,,ALL,"ADULT, OLDER_ADULT",NA,200,OTHER,INTERVENTIONAL,3/1/2021,1/31/2025
NCT05931432,RECRUITING,"Depression, Anxiety|Satisfaction|Well-being",OTHER: Comprehensive Well-Being Intervention,University of Pennsylvania,Pennsylvania Department of Health,ALL,"ADULT, OLDER_ADULT",NA,300,OTHER,INTERVENTIONAL,10/12/2023,3/1/2026
NCT05864118,RECRUITING,Respiratory Tract Infections,DIAGNOSTIC_TEST: Respiratory pathogen panel PCR test|DIAGNOSTIC_TEST: COVID-19 antibody test,University of Nebraska,,ALL,"ADULT, OLDER_ADULT",NA,1000,OTHER,INTERVENTIONAL,8/21/2023,2024-12
NCT06020118,ACTIVE_NOT_RECRUITING,Influenza|COVID-19,BIOLOGICAL: Simultaneous Vaccination (Influenza Vaccine and mRNA COVID booster)|BIOLOGICAL: Sequential Vaccination (Influenza vaccine then mRNA COVID booster)|BIOLOGICAL: Sequential Vaccination (mRNA COVID booster then Influenza vaccine),Duke University,Centers for Disease Control and Prevention|Arizona State University|University Hospitals Cleveland Medical Center|University of Pittsburgh|Washington University School of Medicine|Valleywise Health|VA Northeast Ohio Health Care|Senders Pediatrics,ALL,"CHILD, ADULT",PHASE4,800,OTHER,INTERVENTIONAL,9/25/2023,5/15/2024
NCT04563702,COMPLETED,Covid19,BIOLOGICAL: VXA-CoV2-1,Vaxart,,ALL,ADULT,PHASE1,35,INDUSTRY,INTERVENTIONAL,9/21/2020,10/10/2021
NCT05546502,RECRUITING,Vaccine Reaction|Vaccine Adverse Reaction,BIOLOGICAL: SARS-CoV-2 Protein Subunit Recombinant Vaccine|BIOLOGICAL: Active Comparator,PT Bio Farma,"Center for Child Health Universitas Gadjah Mada (CCH-PRO UGM|Cipto Mangunkusumo Hospital/Department of Child Health, Faculty of Medicine, University of Indonesia, Jakarta|Faculty of Medicine, Andalas University",ALL,CHILD,PHASE3,1050,INDUSTRY,INTERVENTIONAL,10/9/2022,1/31/2024
NCT04282902,UNKNOWN,Novel Coronavirus Pneumonia|Pneumonia|Pirfenidone,DRUG: pirfenidone,Huilan Zhang,,ALL,"ADULT, OLDER_ADULT",PHASE3,294,OTHER,INTERVENTIONAL,2/4/2020,6/1/2020
NCT05584202,RECRUITING,SARS-CoV-2,BIOLOGICAL: mRNA-1273.214|OTHER: Placebo,"ModernaTX, Inc.",,ALL,CHILD,PHASE2,700,INDUSTRY,INTERVENTIONAL,9/30/2022,3/8/2025
NCT04402918,COMPLETED,Sars-CoV2,DIAGNOSTIC_TEST: biological samples day of delivery,Centre Hospitalier Universitaire de Besancon,,FEMALE,"ADULT, OLDER_ADULT",NA,160,OTHER,INTERVENTIONAL,5/17/2020,8/2/2021
NCT04348513,TERMINATED,Pulmonary Infection|Covid-19,DRUG: T3 solution for injection|DRUG: Placebo,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.,Attikon Hospital,ALL,"ADULT, OLDER_ADULT",PHASE2,5,INDUSTRY,INTERVENTIONAL,5/29/2020,4/19/2021
NCT04656613,UNKNOWN,Covid19|SARS-CoV Infection,BIOLOGICAL: Gam-COVID-Vac|OTHER: placebo,"Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation",PDC-CRO,ALL,"ADULT, OLDER_ADULT",PHASE3,1000,OTHER,INTERVENTIONAL,2020-12,2021-12
NCT04530370,UNKNOWN,Covid19,BIOLOGICAL: recovered covid 19 patients plasma,South Valley University,,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,30,OTHER,INTERVENTIONAL,5/29/2020,9/1/2020
NCT04551911,COMPLETED,Covid19|Coronavirus|SARS-CoV-2 Infection,DRUG: Rayaldee 30Mcg Extended-Release (ER) Capsule|DRUG: Placebo,"OPKO Health, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE2,171,INDUSTRY,INTERVENTIONAL,10/26/2020,10/8/2021
NCT05168813,ACTIVE_NOT_RECRUITING,SARS-CoV-2 Infection|HIV Infections|COVID-19,BIOLOGICAL: Moderna mRNA-1273|BIOLOGICAL: Vaccine 3 Dose|BIOLOGICAL: Vaccine 2 Dose,COVID-19 Prevention Network,"National Institute of Allergy and Infectious Diseases (NIAID)|Medical Research Council, South Africa",ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,14232,NETWORK,INTERVENTIONAL,12/1/2021,4/12/2024
NCT05228613,COMPLETED,COVID-19,BIOLOGICAL: SARS-CoV-2 protein subunit recombinant vaccine|BIOLOGICAL: SARS-CoV-2 inactivated vaccine,PT Bio Farma,"Fakultas Kedokteran Universitas Indonesia|Faculty of Medicine, Diponegoro University, Semarang",ALL,"ADULT, OLDER_ADULT",PHASE1,175,INDUSTRY,INTERVENTIONAL,2/16/2022,1/24/2023
NCT05731570,RECRUITING,Long Covid19,BEHAVIORAL: Cognitive rehabilitation,"University College, London",Bangor University|St George's University Hospitals NHS Foundation Trust|University of Brighton|University Hospital Southampton NHS Foundation Trust|Greater Manchester Mental Health NHS Foundation Trust,ALL,ADULT,NA,120,OTHER,INTERVENTIONAL,2/14/2023,2024-02
NCT05109611,ACTIVE_NOT_RECRUITING,SARS-CoV-2 Infection,DRUG: Nitric Oxide|DEVICE: Nasal spray with isotonic saline,Sanotize Research and Development corp.,,ALL,"ADULT, OLDER_ADULT",PHASE3,1389,INDUSTRY,INTERVENTIONAL,11/20/2021,4/30/2024
NCT04402970,COMPLETED,SARS-CoV 2|ARDS,DRUG: Dornase Alfa Inhalation Solution,University of Missouri-Columbia,,ALL,"ADULT, OLDER_ADULT",PHASE3,30,OTHER,INTERVENTIONAL,6/19/2020,12/31/2020
NCT04472611,COMPLETED,SARS-CoV-2,DRUG: Standard of Care (SOC) and Colchicine+Rosuvastatin,Yale University,,ALL,"ADULT, OLDER_ADULT",PHASE3,250,OTHER,INTERVENTIONAL,10/30/2020,3/30/2022
NCT04690413,COMPLETED,COVID-19|SARS-CoV-2|Coronavirus,DEVICE: NOWDx COVID-19 Test,"NOWDiagnostics, Inc.",,ALL,"ADULT, OLDER_ADULT",NA,129,INDUSTRY,INTERVENTIONAL,9/1/2020,12/31/2020
NCT04537299,ENROLLING_BY_INVITATION,Covid19|SARS-CoV Infection,DRUG: Fisetin|DRUG: Placebo,Mayo Clinic,National Institute on Aging (NIA),ALL,OLDER_ADULT,PHASE2,150,OTHER,INTERVENTIONAL,4/29/2022,11/30/2025
NCT05710770,RECRUITING,ME/CFS|Post-COVID ME/CFS,DEVICE: Immunoadsorption,"Charite University, Berlin, Germany",,ALL,"ADULT, OLDER_ADULT",NA,66,OTHER,INTERVENTIONAL,10/1/2023,2025-02
NCT04566770,COMPLETED,COVID-19,BIOLOGICAL: Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector)|BIOLOGICAL: Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector) -placebo,CanSino Biologics Inc.,Beijing Institute of Biotechnology|Jiangsu Province Centers for Disease Control and Prevention,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,480,INDUSTRY,INTERVENTIONAL,9/24/2020,1/19/2022
NCT04856111,ACTIVE_NOT_RECRUITING,Novel Coronavirus-induced Lung Fibrosis,DRUG: Pirfenidone|DRUG: Nintedanib,Postgraduate Institute of Medical Education and Research,,ALL,"ADULT, OLDER_ADULT",PHASE4,48,OTHER_GOV,INTERVENTIONAL,3/17/2021,11/30/2022
NCT05204511,COMPLETED,Long COVID-19|Post-COVID-19 Syndrome|COVID-19,OTHER: endurance training|OTHER: concurrent training,University of Vienna,,ALL,"ADULT, OLDER_ADULT",NA,66,OTHER,INTERVENTIONAL,2/10/2022,5/31/2023
NCT04934111,RECRUITING,COVID-19,DRUG: LNP-nCOV saRNA-02 Vaccine,MRC/UVRI and LSHTM Uganda Research Unit,,ALL,ADULT,PHASE1,42,OTHER,INTERVENTIONAL,12/2/2021,12/31/2022
NCT04896970,WITHDRAWN,SARS-CoV-2,OTHER: Concert,"University Hospital, Montpellier",,ALL,ADULT,NA,0,OTHER,INTERVENTIONAL,2021-06,2021-07
NCT05614011,RECRUITING,COVID-19,DIAGNOSTIC_TEST: RT-PCR Test|DIAGNOSTIC_TEST: Real-time PCR Test,QuantuMDx Group Ltd,New Day Diagnostics|PathAI|Bright Research Center,ALL,"ADULT, OLDER_ADULT",NA,550,INDUSTRY,INTERVENTIONAL,11/28/2022,2023-05
NCT04519411,WITHDRAWN,COVID 19,DIAGNOSTIC_TEST: Transpulmonary pressure measurements,Mayo Clinic,,ALL,CHILD,NA,0,OTHER,INTERVENTIONAL,5/21/2020,2022-12
NCT04360811,COMPLETED,Pregnancy,DIAGNOSTIC_TEST: COVID 19 diagnostic test by PCR,"University Hospital, Toulouse",,FEMALE,"ADULT, OLDER_ADULT",NA,2494,OTHER,INTERVENTIONAL,4/17/2020,3/31/2022
NCT04360824,COMPLETED,COVID 19 Associated Coagulopathy,DRUG: Intermediate dose thromboprophylaxis|DRUG: Standard of Care thromboprophylaxis,University of Iowa,,ALL,"ADULT, OLDER_ADULT",PHASE4,176,OTHER,INTERVENTIONAL,5/6/2020,4/16/2021
NCT05007457,UNKNOWN,Respiratory Failure|Sars-CoV-2|Covid19|ARDS|Interstitial Pneumonia|Respiratory Rehabilitation|Dyspnea|Quality of Life|Coronavirus Infections,OTHER: Telerehabilitation,IRCCS Azienda Ospedaliero-Universitaria di Bologna,,ALL,"ADULT, OLDER_ADULT",NA,100,OTHER,INTERVENTIONAL,6/12/2021,6/12/2023
NCT04359901,COMPLETED,COVID,BIOLOGICAL: SARILUMAB,Westyn Branch-Elliman,,ALL,"ADULT, OLDER_ADULT",PHASE2,50,FED,INTERVENTIONAL,4/10/2020,8/2/2021
NCT05047601,COMPLETED,COVID-19,DRUG: PF-07321332|DRUG: Placebo for PF-07321332|DRUG: Placebo for Ritonavir|DRUG: Ritonavir,Pfizer,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,2954,INDUSTRY,INTERVENTIONAL,9/9/2021,4/12/2022
NCT05601180,ACTIVE_NOT_RECRUITING,Asthma|Chronic Obstructive Pulmonary Disease|Long COVID,OTHER: Respicure®|OTHER: Standard of care,Beker Laboratories,,ALL,"ADULT, OLDER_ADULT",NA,480,INDUSTRY,INTERVENTIONAL,10/27/2022,2024-07
NCT04649424,COMPLETED,Covid19,DEVICE: CanSwab,Orthopaedic Innovation Centre,,ALL,"ADULT, OLDER_ADULT",NA,169,OTHER,INTERVENTIONAL,12/22/2020,4/13/2021
NCT04474340,UNKNOWN,"Moderate COVID-19 Pneumonia, Severe COVID-19 Pneumonia|Pneumonia, Viral",DRUG: COVID-19 Convalscent Plasma,"Ministry of Health, Kuwait",,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,300,OTHER_GOV,INTERVENTIONAL,5/21/2020,12/30/2020
NCT04357340,COMPLETED,Covid-19|Pneumonia|SARS Pneumonia,OTHER: Pulmonary Physiotherapy Techniques,Tehran University of Medical Sciences,,ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL,4/2/2020,5/30/2020
NCT04703140,TERMINATED,COVID-19|SARS-CoV-2,DIAGNOSTIC_TEST: Rapid Diagnostic Test vs PCR,CMC Ambroise Paré,,ALL,"ADULT, OLDER_ADULT",NA,192,OTHER,INTERVENTIONAL,1/27/2021,5/4/2021
NCT06205524,RECRUITING,COVID-19|COVID-19 Immunisation,BIOLOGICAL: TI-0010|BIOLOGICAL: Placebo,National Drug Clinical Trial Institute of the Second Affiliated Hospital of Bengbu Medical College,Therorna,ALL,ADULT,PHASE1,100,OTHER,INTERVENTIONAL,7/10/2023,2/1/2025
NCT04480424,COMPLETED,COVID-19,BIOLOGICAL: GAMUNEX-C|DRUG: Standard Medical Treatment,Grifols Therapeutics LLC,,ALL,"ADULT, OLDER_ADULT",PHASE2,100,INDUSTRY,INTERVENTIONAL,9/17/2020,10/25/2021
NCT05135624,RECRUITING,SARS CoV 2 Infection|Pneumonia,DRUG: SP16 (6mg)|OTHER: Placebo|DRUG: SP16 (12 mg),"Serpin Pharma, LLC",University of Virginia,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,20,OTHER,INTERVENTIONAL,12/1/2021,2024-03
NCT05121740,COMPLETED,COVID-19 Infection,DRUG: Plitidepsin 1.5 mg / day|DRUG: Plitidepsin 2.0 mg / day|DRUG: Plitidepsin 2.5 mg / day,PharmaMar,Apices Soluciones S.L.,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,34,INDUSTRY,INTERVENTIONAL,1/18/2022,3/16/2022
NCT04729140,UNKNOWN,Covid19,DRUG: Ivermectin Tablets|DRUG: Doxycycline Tablets|DRUG: Placebo,"Max Health, Subsero Health",,ALL,"ADULT, OLDER_ADULT",PHASE4,150,OTHER,INTERVENTIONAL,12/28/2020,3/28/2022
NCT04954157,COMPLETED,Hypoxia|SARS-CoV-2 Acute Respiratory Disease|Carotid Bodies,DIAGNOSTIC_TEST: Phase-1: Breath Holding Test|DIAGNOSTIC_TEST: Phase 2: 6-Minute Walk Test (6MWT),University of Chicago,,ALL,"ADULT, OLDER_ADULT",NA,80,OTHER,INTERVENTIONAL,6/29/2020,4/21/2022
NCT04795557,COMPLETED,Covid19,DIETARY_SUPPLEMENT: ADAPT-232 oral solution|OTHER: Placebo oral solution,Swedish Herbal Institute AB,"National Family Medicine Training Centre, Georgia|Tbilisi State Medical University|Phytomed AB",ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,100,INDUSTRY,INTERVENTIONAL,4/19/2021,12/26/2021
NCT06142240,RECRUITING,Persistent COVID-19,OTHER: exercise programe,Facultat de ciencies de la Salut Universitat Ramon Llull,,ALL,ADULT,NA,40,OTHER,INTERVENTIONAL,6/1/2023,9/1/2025
NCT04582201,ACTIVE_NOT_RECRUITING,"Respiratory Distress Syndrome, Adult",DRUG: agenT-797,MiNK Therapeutics,,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,20,INDUSTRY,INTERVENTIONAL,9/21/2020,9/30/2023
NCT04449380,TERMINATED,COVID-19 Virus Infection,DRUG: Interferon-ß-1a|COMBINATION_PRODUCT: Standard of Care (SOC),Emanuele Bosi,,ALL,"ADULT, OLDER_ADULT",PHASE2,56,OTHER,INTERVENTIONAL,11/2/2020,3/30/2021
NCT04432324,COMPLETED,COVID-19,BIOLOGICAL: Intravenous Immune Globulin|DRUG: Standard Medical Treatment,"Instituto Grifols, S.A.",,ALL,"ADULT, OLDER_ADULT",PHASE2,100,INDUSTRY,INTERVENTIONAL,6/2/2020,3/3/2021
NCT04350580,COMPLETED,Acute Respiratory Distress Syndrome|COVID-19,DRUG: Human immunoglobulin|DRUG: Placebo,Centre Hospitalier St Anne,Groupe Hospitalier Universitaire Paris psychiatrie & neurosciences|Laboratoire français de Fractionnement et de Biotechnologies,ALL,"ADULT, OLDER_ADULT",PHASE3,146,OTHER,INTERVENTIONAL,4/11/2020,2/20/2021
NCT05107440,COMPLETED,COVID-19,OTHER: BREATHE,University of Calgary,,ALL,"ADULT, OLDER_ADULT",NA,27,OTHER,INTERVENTIONAL,1/3/2022,10/13/2022
NCT05977140,RECRUITING,Healthy Volunteers,DRUG: CDI-988|DRUG: Placebo,"Cocrystal Pharma, Inc.",Cocrystal Pharma Australia Pty Ltd.|Nucleus Network Pty Ltd.|Beyond Drug Development Pty Ltd.|Resolutum Global Pty Ltd.,ALL,ADULT,PHASE1,56,INDUSTRY,INTERVENTIONAL,9/27/2023,2024-11
NCT04790240,UNKNOWN,Covid19 Virus Infection,DIETARY_SUPPLEMENT: Inflammation (I)|DIETARY_SUPPLEMENT: Inflammation (II)|DIETARY_SUPPLEMENT: Inflammation (III)|DRUG: Standard of care,"All Natural Medicine Clinic, LLC",,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,120,OTHER,INTERVENTIONAL,2/1/2021,2023-03
NCT05109624,COMPLETED,COVID-19 Acute Respiratory Distress Syndrome,PROCEDURE: prolonged prone position ventilation,Ain Shams University,,ALL,"ADULT, OLDER_ADULT",NA,52,OTHER,INTERVENTIONAL,10/1/2021,1/1/2022
NCT04954040,UNKNOWN,Acute Respiratory Distress Syndrome|Covid19,DRUG: Hydroxychloroquine Pill + Azithromycin Pill|DRUG: SOC,Maimónides Biomedical Research Institute of Córdoba,,ALL,"ADULT, OLDER_ADULT",PHASE2,132,OTHER,INTERVENTIONAL,2/10/2021,2021-12
NCT05739513,COMPLETED,COVID-19,DIAGNOSTIC_TEST: miRNA analysis in plasma,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,ALL,"ADULT, OLDER_ADULT",NA,120,OTHER,INTERVENTIONAL,12/7/2020,7/12/2021
NCT05091411,UNKNOWN,Coronavirus Disease 2019,BIOLOGICAL: Recombinant new coronavirus vaccine (CHO cell) group,"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.",,ALL,ADULT,PHASE3,1680,INDUSTRY,INTERVENTIONAL,9/9/2021,2022-12
NCT04912011,UNKNOWN,COVID-19 Pneumonia,DRUG: Canrenoate Potassium|DRUG: Normal Saline,Pomeranian Medical University Szczecin,,ALL,"ADULT, OLDER_ADULT",PHASE4,50,OTHER,INTERVENTIONAL,1/1/2021,12/31/2021
NCT04392713,UNKNOWN,COVID,DRUG: Ivermectin 6 MG Oral Tablet (2 tablets),"Combined Military Hospital, Pakistan",,ALL,"CHILD, ADULT, OLDER_ADULT",NA,100,OTHER,INTERVENTIONAL,4/15/2020,2020-07
NCT04438070,UNKNOWN,COVID-19,DIAGNOSTIC_TEST: COVID-19 Swab,St. Joseph's Healthcare Hamilton,Timothy O'Shea|Marek Smieja|Lawrence Mbuagbaw,ALL,"ADULT, OLDER_ADULT",NA,400,OTHER,INTERVENTIONAL,4/10/2020,2020-06
NCT04465513,COMPLETED,COVID|Covid-19,DIETARY_SUPPLEMENT: Best Standard of Care + CARDIO|DIETARY_SUPPLEMENT: Best Standard of Care,Hofseth Biocare ASA,KGK Science Inc.,ALL,"ADULT, OLDER_ADULT",NA,14,INDUSTRY,INTERVENTIONAL,8/31/2020,10/4/2021
NCT05911113,COMPLETED,Post-COVID-19 Syndrome,OTHER: sensory re-education training|OTHER: traditional treatment,Cairo University,,ALL,ADULT,NA,40,OTHER,INTERVENTIONAL,6/26/2023,10/30/2023
NCT05112913,ACTIVE_NOT_RECRUITING,COVID-19,BIOLOGICAL: Inactivated SARS-CoV-2 Vaccine (Vero cell) Lot 1 of the workshop 2|BIOLOGICAL: Inactivated SARS-CoV-2 Vaccine (Vero cell) Lot 2 of the workshop 2|BIOLOGICAL: Inactivated SARS-CoV-2 Vaccine (Vero cell) Lot 3 of the workshop 2|BIOLOGICAL: Inactivated SARS-CoV-2 Vaccine (Vero cell) Lot 1 of the workshop 3|BIOLOGICAL: Inactivated SARS-CoV-2 Vaccine (Vero cell) Lot 2 of the workshop 3|BIOLOGICAL: Inactivated SARS-CoV-2 Vaccine (Vero cell) Lot 3 of the workshop 3|BIOLOGICAL: Inactivated SARS-CoV-2 Vaccine (Vero cell) Lot 1 of the workshop 1,"Sinovac Research and Development Co., Ltd.",,ALL,CHILD,PHASE4,2520,INDUSTRY,INTERVENTIONAL,7/27/2021,12/25/2023
NCT05557513,COMPLETED,COVID-19 Pandemic,DEVICE: STANDARD Q COVID-19 Ag Test,University of Oxford,,ALL,"CHILD, ADULT, OLDER_ADULT",NA,1310,OTHER,INTERVENTIONAL,8/18/2022,12/31/2022
NCT05011513,TERMINATED,COVID-19,DRUG: PF-07321332|DRUG: Ritonavir|DRUG: Placebo|DRUG: Placebo,Pfizer,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,1440,INDUSTRY,INTERVENTIONAL,8/25/2021,7/25/2022
NCT05188469,ACTIVE_NOT_RECRUITING,COVID-19 Vaccine,DRUG: EG-COVID-003|DRUG: EG-COVID-001|DRUG: A: EG-COVID|DRUG: B: EG-COVID|DRUG: C: EG-COVARo,EyeGene Inc.,Novotech (Australia) Pty Limited,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,67,OTHER,INTERVENTIONAL,3/22/2022,4/1/2024
