NCT Number,Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Start Date,Completion Date
NCT05923268,ENROLLING_BY_INVITATION,Breast Cancer Female,DRUG: [99mTc]Tc-G3-(G3S)3C,Tomsk National Research Medical Center of the Russian Academy of Sciences,,FEMALE,"ADULT, OLDER_ADULT",NA,10,OTHER,INTERVENTIONAL,6/4/2023,6/15/2024
NCT06246968,RECRUITING,Metastatic Breast Cancer|Breast Cancer|Breast Cancer Stage IV|Triple Negative Breast Cancer|Triple Negative Breast Neoplasms|Metastatic Triple-Negative Breast Carcinoma|Locally Advanced Breast Cancer|Locally Advanced Triple-Negative Breast Carcinoma,DRUG: Pembrolizumab|DEVICE: Cryoablation,Memorial Sloan Kettering Cancer Center,,ALL,"ADULT, OLDER_ADULT",PHASE1,30,OTHER,INTERVENTIONAL,1/29/2024,1/29/2027
NCT05025020,ACTIVE_NOT_RECRUITING,Breast Cancer,OTHER: interactive 3D tool|OTHER: BREAST-Q Reconstruction Module|OTHER: DQI|OTHER: Ottawa Decision Regret Scale,Memorial Sloan Kettering Cancer Center,,FEMALE,"ADULT, OLDER_ADULT",NA,88,OTHER,INTERVENTIONAL,8/23/2021,2024-08
NCT04191382,TERMINATED,Breast Cancer,DRUG: Amcenestrant (SAR439859)|DRUG: Letrozole,Sanofi,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,105,INDUSTRY,INTERVENTIONAL,2/4/2020,5/28/2021
NCT05686720,NOT_YET_RECRUITING,Advanced Triple Negative Breast Cancer,DRUG: SZ011 CAR-NK,First Affiliated Hospital of Shantou University Medical College,"Guangdong ProCapZoom Biosciences Co., Ltd.",FEMALE,"ADULT, OLDER_ADULT",EARLY_PHASE1,12,OTHER,INTERVENTIONAL,2/1/2023,6/1/2024
NCT04861220,UNKNOWN,Breast Neoplasm,BEHAVIORAL: Physical exercise,"Instituto Nacional de Cancer, Brazil",,FEMALE,"ADULT, OLDER_ADULT",NA,248,OTHER_GOV,INTERVENTIONAL,1/1/2022,12/30/2023
NCT06188520,RECRUITING,ER+ HER2- Advanced Breast Cancer|High-grade Serous Ovarian Cancer (HGSOC),DRUG: AZD8421|DRUG: Camizestrant|DRUG: Ribociclib|DRUG: Palbociclib|DRUG: Abemaciclib,AstraZeneca,,FEMALE,"ADULT, OLDER_ADULT",PHASE1|PHASE2,204,INDUSTRY,INTERVENTIONAL,12/5/2023,6/18/2025
NCT05574920,ACTIVE_NOT_RECRUITING,Breast Cancer,DIAGNOSTIC_TEST: Al18F-NOTA-FAPI-04 PET/CT scan,Peking Union Medical College Hospital,,ALL,"ADULT, OLDER_ADULT",NA,88,OTHER,INTERVENTIONAL,5/10/2022,2/1/2024
NCT04136782,RECRUITING,Breast Cancer,DRUG: Albumin-bound paclitaxel combined with carboplatin|DRUG: Epirubicin combined with docetaxel,Shengjing Hospital,,FEMALE,"ADULT, OLDER_ADULT",PHASE4,110,OTHER,INTERVENTIONAL,7/19/2021,11/30/2026
NCT04477616,COMPLETED,Breast Cancer,DRUG: Day 7 regimen|DRUG: Day 3 regimen,The First Affiliated Hospital with Nanjing Medical University,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,160,OTHER,INTERVENTIONAL,7/13/2021,11/6/2022
NCT04871516,RECRUITING,Anatomic Stage 0 Breast Cancer AJCC v8|Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage IA Breast Cancer AJCC v8|Anatomic Stage IB Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIA Breast Cancer AJCC v8|Anatomic Stage IIB Breast Cancer AJCC v8|Invasive Breast Carcinoma|Non-Metastatic Breast Carcinoma|Prognostic Stage 0 Breast Cancer AJCC v8|Prognostic Stage I Breast Cancer AJCC v8|Prognostic Stage IA Breast Cancer AJCC v8|Prognostic Stage IB Breast Cancer AJCC v8|Prognostic Stage II Breast Cancer AJCC v8|Prognostic Stage IIA Breast Cancer AJCC v8|Prognostic Stage IIB Breast Cancer AJCC v8|Prognostic Stage III Breast Cancer AJCC v8|Prognostic Stage IIIA Breast Cancer AJCC v8|Prognostic Stage IIIB Breast Cancer AJCC v8|Prognostic Stage IIIC Breast Cancer AJCC v8,OTHER: Quality-of-Life Assessment|OTHER: Questionnaire Administration|RADIATION: Radiation Boost|PROCEDURE: Therapeutic Surgical Procedure|RADIATION: Whole Breast Irradiation|OTHER: Breast MRI,"Rutgers, The State University of New Jersey",National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",NA,55,OTHER,INTERVENTIONAL,5/18/2021,1/31/2024
NCT04640220,COMPLETED,Breast Neoplasm|Shoulder Capsulitis|Range of Motion,PROCEDURE: Intra-articular steroid injection,Yeungnam University Hospital,,FEMALE,"CHILD, ADULT, OLDER_ADULT",NA,28,OTHER,INTERVENTIONAL,10/26/2020,12/31/2021
NCT03935282,ACTIVE_NOT_RECRUITING,Breast Neoplasm|Prostatic Neoplasm|Colorectal Neoplasms|Endometrial Neoplasms|Hodgkin Disease|Non Hodgkin Lymphoma,OTHER: AH-HA Tool in the EPIC EHR,Wake Forest University Health Sciences,National Cancer Institute (NCI)|Washington University School of Medicine|University of Texas Southwestern Medical Center,ALL,"ADULT, OLDER_ADULT",NA,645,OTHER,INTERVENTIONAL,10/1/2020,3/7/2024
NCT05244382,RECRUITING,Breast Neoplasm Female|Neoplasm Metastasis|Spinal Neoplasms,OTHER: Overcome,Universidad de Granada,,FEMALE,"ADULT, OLDER_ADULT",NA,58,OTHER,INTERVENTIONAL,2/7/2022,2025-06
NCT04160182,WITHDRAWN,Breast Cancer|Fatigue,BEHAVIORAL: Energy Conservation Work Simplification Education,Danielle Mockensturm,University of Toledo,FEMALE,"ADULT, OLDER_ADULT",NA,0,OTHER,INTERVENTIONAL,1/27/2020,9/1/2020
NCT05600582,WITHDRAWN,Breast Neoplasms|Neoplasm Metastasis,BIOLOGICAL: CodaLytic,"Codagenix, Inc",,ALL,"ADULT, OLDER_ADULT",PHASE1,0,INDUSTRY,INTERVENTIONAL,1/15/2023,1/30/2025
NCT04677816,RECRUITING,Triple Negative Breast Cancer|Vitamin D Deficiency|Invasive Breast Cancer,DRUG: Standard of Care Neoadjuvant Chemotherapy|DIETARY_SUPPLEMENT: Vitamin D3|OTHER: Drug Diary,Wake Forest University Health Sciences,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",PHASE2,50,OTHER,INTERVENTIONAL,10/22/2021,2024-10
NCT05979220,NOT_YET_RECRUITING,Breast Cancer,DRUG: Dalpiciclib combined with Letrozole,Shuangyue Liu,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,178,OTHER,INTERVENTIONAL,12/1/2023,6/30/2028
NCT04896320,WITHDRAWN,Breast Cancer Stage IV,DRUG: Tucatinib,Providence Health & Services,Seagen Inc.,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,0,OTHER,INTERVENTIONAL,12/15/2021,6/19/2023
NCT06143020,COMPLETED,Mammary Cancer|Erector Spinae Plane Block|Postoperative Pain,PROCEDURE: Erector spinae plane block,Fudan University,,FEMALE,"ADULT, OLDER_ADULT",NA,100,OTHER,INTERVENTIONAL,11/1/2021,1/2/2024
NCT05114720,RECRUITING,Breast Cancer,DRUG: standard adjuvant chemotherapy plus moxifloxacin|DRUG: standard adjuvant chemotherapy plus placebo,Sun Yat-sen University,,FEMALE,"ADULT, OLDER_ADULT",PHASE3,520,OTHER,INTERVENTIONAL,11/11/2021,2028-12
NCT03972020,UNKNOWN,Breast Cancer|Depressive Symptoms,BEHAVIORAL: Mindfulness Based Intervention|BEHAVIORAL: Cognitive Behavioral Therapy,"University of Turin, Italy",,FEMALE,"ADULT, OLDER_ADULT",NA,100,OTHER,INTERVENTIONAL,1/1/2022,12/31/2022
NCT04800393,RECRUITING,Anesthesia|Breast Cancer,DRUG: Sevoflurane|DRUG: Propofol,Moscow Clinical Scientific Center,Negovsky Reanimatology Research Institute,FEMALE,"ADULT, OLDER_ADULT",NA,130,OTHER,INTERVENTIONAL,3/29/2022,4/1/2028
NCT04290793,NOT_YET_RECRUITING,Breast Cancer,DRUG: Pyrotinib|DRUG: Epirubicin|DRUG: Cyclophosphamide|DRUG: Taxanes|BIOLOGICAL: Trastuzumab,Hebei Medical University Fourth Hospital,,FEMALE,"ADULT, OLDER_ADULT",PHASE2|PHASE3,280,OTHER,INTERVENTIONAL,3/1/2020,3/1/2024
NCT05808582,NOT_YET_RECRUITING,Hormone Receptor-positive Advanced Breast Cancer,DRUG: chidamideï¼Œfulvestrant,The First Affiliated Hospital with Nanjing Medical University,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,60,OTHER,INTERVENTIONAL,5/1/2023,9/1/2024
NCT05486182,RECRUITING,Metastatic Breast Cancer,DRUG: 18F Fluoroestradiol Radiopharmaceutical with PET/CT,Zionexa,GE Healthcare|Simbec-Orion Group|Keosys,FEMALE,"ADULT, OLDER_ADULT",PHASE4,152,INDUSTRY,INTERVENTIONAL,2/8/2022,2025-06
NCT03749850,UNKNOWN,Metastatic Breast Cancer|Breast Cancer|Breast Neoplasms|Stage IV Breast Cancer|Metastatic Cancer|Invasive Ductal Carcinoma of Female Breast|Invasive Ductal Breast Cancer|Adenocarcinoma Breast,DRUG: LTLD|PROCEDURE: MR-HIFU induced hyperthermia|DRUG: Cyclophosphamide,UMC Utrecht,Dutch Cancer Society|Center for Translational Molecular Medicine|Vrienden UMC Utrecht,FEMALE,"ADULT, OLDER_ADULT",PHASE1,12,OTHER,INTERVENTIONAL,2021-03,2022-11
NCT05792475,ACTIVE_NOT_RECRUITING,Breast Cancer|Breast Diseases,DIAGNOSTIC_TEST: Define Standard of Truth (SOT) by Taihao Breast Cancer Diagnostic Software,TaiHao Medical Inc.,,FEMALE,"ADULT, OLDER_ADULT",NA,3,INDUSTRY,INTERVENTIONAL,1/30/2023,11/30/2023
NCT04020575,RECRUITING,Metastatic Breast Cancer,BIOLOGICAL: huMNC2-CAR44 CAR T cells or huMNC2-CAR22 CAR T cells|BIOLOGICAL: huMNC2-CAR44 CAR T cells or huMNC2-CAR22 CAR T cells @ RP2D,Minerva Biotechnologies Corporation,City of Hope Medical Center,ALL,"ADULT, OLDER_ADULT",PHASE1,69,INDUSTRY,INTERVENTIONAL,1/15/2020,1/15/2035
NCT06008275,NOT_YET_RECRUITING,Metastatic Triple-Negative Breast Carcinoma|Breast Cancer,DRUG: Neratinib Oral Tablet|DRUG: Ruxolitinib Oral Tablet,Baylor Research Institute,,FEMALE,"ADULT, OLDER_ADULT",EARLY_PHASE1,20,OTHER,INTERVENTIONAL,2023-11,2025-12
NCT05229575,UNKNOWN,Stage IV Breast Cancer,RADIATION: Stereotactic Body Radiation Therapy (SBRT),Campus Bio-Medico University,,FEMALE,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,7/10/2020,4/10/2023
NCT04459650,ACTIVE_NOT_RECRUITING,Alopecia,PROCEDURE: Platelet Rich Plasma system,Memorial Sloan Kettering Cancer Center,,ALL,ADULT,EARLY_PHASE1,30,OTHER,INTERVENTIONAL,6/23/2020,2024-06
NCT05708950,RECRUITING,Cancer|Solid Tumor|Melanoma|Carcinoma|Sarcoma|Lung Cancer|Prostate Cancer|Breast Cancer|Colo-rectal Cancer|Uterine Cancer|Pancreatic Cancer|Gastric Cancer|Esophageal Cancer|Thyroid Cancer|Ovarian Cancer|Kidney Cancer|Head and Neck Cancer,DRUG: KVA12123 - Dose Escalation|DRUG: KVA12123 Plus Pembrolizumab - Dose Escalation|DRUG: KVA12123 - Dose Expansion|DRUG: KVA12123 Plus Pembrolizumab - Dose Expansion,Kineta Inc.,Merck Sharp & Dohme LLC,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,314,INDUSTRY,INTERVENTIONAL,3/3/2023,12/31/2024
NCT04514159,COMPLETED,Breast Cancer,DRUG: ZN-c5|DRUG: Abemaciclib,Zeno Alpha Inc.,,ALL,"ADULT, OLDER_ADULT",PHASE1,14,INDUSTRY,INTERVENTIONAL,11/12/2020,10/24/2022
NCT04781959,ACTIVE_NOT_RECRUITING,Early-stage Breast Cancer,DRUG: Filgrastim|DRUG: Pegfilgrastim,Ottawa Hospital Research Institute,,ALL,"ADULT, OLDER_ADULT",PHASE4,233,OTHER,INTERVENTIONAL,6/9/2021,2023-12
NCT05689359,NOT_YET_RECRUITING,Breast Cancer|Gynecologic Cancer|Early-stage Breast Cancer|Peripheral Neuropathy|Chemotherapy-induced Peripheral Neuropathy,DRUG: Hydroxychloroquine,University of Arizona,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,24,OTHER,INTERVENTIONAL,2024-06,12/1/2025
NCT04675450,WITHDRAWN,Breast Cancer|Peripheral Neuropathy,DRUG: Placebo|DRUG: NBP Softgel Capsules,"Conjupro Biotherapeutics, Inc.","CSPC-NBP Pharmaceutical Co., Ltd.",ALL,"ADULT, OLDER_ADULT",PHASE2,0,INDUSTRY,INTERVENTIONAL,6/30/2023,1/30/2025
NCT05142475,RECRUITING,Breast Cancer|Treatment Side Effects|Advanced Breast Cancer|Effects of Immunotherapy,BIOLOGICAL: Tumor Infiltrating Lymphocytes (TIL),Shanghai Juncell Therapeutics,Shanghai 10th People's Hospital,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,50,INDUSTRY,INTERVENTIONAL,11/19/2021,12/20/2024
NCT04745975,RECRUITING,Triple Negative Breast Cancer,DRUG: Personalized treatment guided by mini-PDX and RNA sequencing|DRUG: Nab paclitaxel|DRUG: Eribulin|DRUG: Vinorelbine|DRUG: Gemcitabine|DRUG: Capecitabine,Fudan University,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,100,OTHER,INTERVENTIONAL,2/1/2021,2023-01
NCT05625659,RECRUITING,Breast Cancer,DIAGNOSTIC_TEST: Dual-Energy Contrast-Enhanced Spectral Mammography (CESM),American College of Radiology,GE Healthcare|Breast Cancer Research Foundation,FEMALE,"ADULT, OLDER_ADULT",NA,2032,OTHER,INTERVENTIONAL,3/24/2023,1/1/2027
NCT06199050,RECRUITING,Fear|Anxiety|Breast Cancer|Lung Cancer|Prostate Cancer|Head and Neck Cancer|Brain Tumor,OTHER: Questionnaire: SPIRIT|OTHER: Questionnaire: HADS|OTHER: Questionnaire: QSC-R23|OTHER: General questions|OTHER: Clinical data collected,Maastricht Radiation Oncology,,ALL,"ADULT, OLDER_ADULT",NA,600,OTHER,INTERVENTIONAL,6/16/2023,6/30/2025
NCT05396950,NOT_YET_RECRUITING,Cancer,DEVICE: CPAP,Waikato Hospital,,ALL,"ADULT, OLDER_ADULT",NA,70,OTHER,INTERVENTIONAL,2022-07,2023-07
NCT05469750,NOT_YET_RECRUITING,Advanced Breast Cancer,DRUG: Dalpiciclib+ letrozole +capecitabine,Fujian Medical University Union Hospital,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,48,OTHER,INTERVENTIONAL,8/10/2022,2024-08
NCT06053775,RECRUITING,Depressive Symptoms|Cognitive Impairment,DEVICE: Transcranial Direct Current Stimulation|DEVICE: Transcranial Alternating Current Stimulation|DEVICE: tES sham|DEVICE: Online Cognitive Training,University of Santiago de Compostela,Fundacin Biomedica Galicia Sur,FEMALE,"ADULT, OLDER_ADULT",NA,80,OTHER,INTERVENTIONAL,9/27/2023,2025-09
NCT05545150,RECRUITING,Anatomic Stage 0 Breast Cancer AJCC v8|Bilateral Breast Carcinoma|Breast Ductal Carcinoma In Situ|Invasive Breast Carcinoma|Multicentric Breast Carcinoma|Prognostic Stage 0 Breast Cancer AJCC v8,PROCEDURE: Intraoperative Imaging|DEVICE: Lumpectomy,Northwestern University,National Cancer Institute (NCI),FEMALE,"ADULT, OLDER_ADULT",PHASE2,120,OTHER,INTERVENTIONAL,11/28/2022,7/1/2024
NCT04691375,ACTIVE_NOT_RECRUITING,Advanced Solid Tumor|Gynecologic Cancer|Breast Cancer|Colorectal Cancer|Lung Adenocarcinoma|Renal Cell Carcinoma|Triple Negative Breast Cancer|Hormone Receptor/Growth Factor Receptor-Negative Breast Cancer|Ovarian Cancer,DRUG: PY314|DRUG: Combination Therapy: PY314 + Pembrolizumab,Pionyr Immunotherapeutics Inc.,,ALL,"ADULT, OLDER_ADULT",PHASE1,288,INDUSTRY,INTERVENTIONAL,10/29/2020,10/28/2023
NCT04296175,RECRUITING,Triple-negative Breast Cancer,DRUG: Epirubicin|DRUG: CTX|DRUG: Paclitaxel|DRUG: ddEpirubicin|DRUG: ddCTX|DRUG: Paclitaxel(with carbo)|DRUG: Carboplatin,Fudan University,,FEMALE,"ADULT, OLDER_ADULT",PHASE3,808,OTHER,INTERVENTIONAL,3/5/2020,2025-06
NCT06230575,NOT_YET_RECRUITING,Analgesia,PROCEDURE: erector spinae block|PROCEDURE: retrolaminar block|PROCEDURE: serratus anterior block|PROCEDURE: pectoral nerve block,"National Cancer Institute, Egypt",,FEMALE,"ADULT, OLDER_ADULT",NA,100,OTHER,INTERVENTIONAL,2/1/2024,7/25/2025
NCT04301375,NOT_YET_RECRUITING,Mammary Cancer,DRUG: Pertuzumab and trastuzumab FDC subcutaneous|DRUG: Paclitaxel|DRUG: TDM1|DRUG: Endocrine therapy|PROCEDURE: Omission surgery,David Garcia Cinca,Fundacion Clinic per a la Recerca BiomÃ©dica,FEMALE,"ADULT, OLDER_ADULT",PHASE2,27,OTHER,INTERVENTIONAL,6/15/2020,7/15/2027
NCT05825768,RECRUITING,Breast Cancer,DEVICE: Breast MRI|DIAGNOSTIC_TEST: standard breast imaging,Aarhus University Hospital,,FEMALE,"ADULT, OLDER_ADULT",NA,440,OTHER,INTERVENTIONAL,2/1/2021,8/31/2026
NCT04252768,WITHDRAWN,Metastatic Breast Cancer,DRUG: Eftilagimod Alpha|DRUG: Paclitaxel,Immutep S.A.S.,,FEMALE,"ADULT, OLDER_ADULT",PHASE1,0,INDUSTRY,INTERVENTIONAL,2023-06,2026-02
NCT06228768,NOT_YET_RECRUITING,Postmenopausal|Breast Cancer,OTHER: Acupressure|OTHER: Acupressure,University of Michigan Rogel Cancer Center,Breast Cancer Research Foundation,ALL,"ADULT, OLDER_ADULT",NA,50,OTHER,INTERVENTIONAL,2024-03,2026-05
NCT05953168,NOT_YET_RECRUITING,Triple-Negative Breast Cancer,DRUG: Trastuzumab Deruxtecan,Fudan University,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,69,OTHER,INTERVENTIONAL,2023-08,2026-08
NCT03971045,NOT_YET_RECRUITING,Breast Cancer|Chest Wall Tumor,DRUG: Pembrolizumab,European Institute of Oncology,,ALL,"ADULT, OLDER_ADULT",PHASE2,46,OTHER,INTERVENTIONAL,7/1/2023,12/1/2023
NCT05950945,RECRUITING,Breast Cancer,DRUG: Trastuzumab Deruxtecan,Daiichi Sankyo,AstraZeneca,ALL,"ADULT, OLDER_ADULT",PHASE3,250,INDUSTRY,INTERVENTIONAL,12/30/2023,10/1/2027
NCT05461768,RECRUITING,Breast Cancer|Locally Advanced or Metastatic Solid Tumor,DRUG: BL-M07D1,"Sichuan Baili Pharmaceutical Co., Ltd.","SystImmune Inc.|Baili-Bio (Chengdu) Pharmaceutical Co., Ltd.",ALL,"ADULT, OLDER_ADULT",PHASE1,26,INDUSTRY,INTERVENTIONAL,8/9/2022,2024-08
NCT04755868,NOT_YET_RECRUITING,TNBC - Triple-Negative Breast Cancer,DRUG: Talazoparib|DRUG: Placebo,Yonsei University,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,206,OTHER,INTERVENTIONAL,2021-03,3/1/2024
NCT05976815,RECRUITING,Breast Cancer,BEHAVIORAL: Combined Aerobic and Resistance Exercise,University Institute of Maia,Aveiro University|Centro Hospitalar de Vila Nova de Gaia/Espinho|Associacao de Investigacao de Cuidados de Suporte em Oncologia|University of Maia,FEMALE,"ADULT, OLDER_ADULT",NA,86,OTHER,INTERVENTIONAL,7/31/2023,8/1/2026
NCT04891068,RECRUITING,Breast Cancer Female|Breast Cancer Invasive,DRUG: Azacitidine,University of Illinois at Chicago,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,40,OTHER,INTERVENTIONAL,1/10/2022,2024-05
NCT03824145,RECRUITING,Metastatic Breast Cancer,BEHAVIORAL: Lifestyle Intervention|BEHAVIORAL: Attention Control,Medical College of Wisconsin,Loyola University Chicago,FEMALE,"ADULT, OLDER_ADULT",NA,176,OTHER,INTERVENTIONAL,11/1/2022,2/1/2027
NCT05813145,RECRUITING,Breast Cancer,DRUG: Placebo|DRUG: Fenofibrate 160mg,Damanhour University,,FEMALE,ADULT,NA,50,OTHER,INTERVENTIONAL,1/1/2023,2/1/2024
NCT05424068,RECRUITING,Advanced Breast Cancer|Advanced Colorectal Cancer|Cancer Rehabilitation,BEHAVIORAL: In-person rehabilitaiton group|BEHAVIORAL: Virtual rehabilitation group,"University Health Network, Toronto",,ALL,"ADULT, OLDER_ADULT",NA,117,OTHER,INTERVENTIONAL,12/2/2022,4/30/2024
NCT05203445,RECRUITING,Breast Cancer,DRUG: Olaparib|DRUG: Pembrolizumab,Memorial Sloan Kettering Cancer Center,Merck Sharp & Dohme LLC,ALL,"ADULT, OLDER_ADULT",PHASE2,23,OTHER,INTERVENTIONAL,1/31/2022,2026-01
NCT04588545,RECRUITING,HER2-positive Breast Cancer|Leptomeningeal Metastasis|Leptomeningeal Disease,RADIATION: Radiation Therapy|DRUG: Pertuzumab|DRUG: Trastuzumab,H. Lee Moffitt Cancer Center and Research Institute,"Genentech, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,39,OTHER,INTERVENTIONAL,12/10/2020,11/1/2024
NCT05931445,ENROLLING_BY_INVITATION,Breast Cancer|Lung Cancer|Colorectal Cancer|Liver Cancer|Stomach Cancer|Endometrial Cancer|Ovarian Cancer|Squamous Cell Carcinoma of the Head and Neck,OTHER: e-PRO monitoring,Comprehensive Support Project for Oncology Research,,ALL,"ADULT, OLDER_ADULT",NA,500,OTHER,INTERVENTIONAL,1/26/2021,3/31/2027
NCT04582968,ACTIVE_NOT_RECRUITING,Breast Cancer|Brain Metastases|HER2-positive Breast Cancer,OTHER: Pyrotinib Plus Capecitabine combined with brain radiotherapy,Fudan University,,FEMALE,"ADULT, OLDER_ADULT",PHASE1|PHASE2,39,OTHER,INTERVENTIONAL,1/2/2020,8/12/2023
NCT04507568,ACTIVE_NOT_RECRUITING,Breast Cancer|Quality of Life,OTHER: Quality of Life Questionnaires,"University Health Network, Toronto",,ALL,"ADULT, OLDER_ADULT",NA,109,OTHER,INTERVENTIONAL,8/13/2020,2024-08
NCT04752150,COMPLETED,Breast Cancer|Breast Neoplasms|Breast Cancer Female,OTHER: Analgesia management; group ESPB and RIB,Medipol University,,FEMALE,"ADULT, OLDER_ADULT",NA,60,OTHER,INTERVENTIONAL,2/16/2021,12/20/2021
NCT05460650,COMPLETED,"Breast Cancer|Overweight and Obesity|Diet, Healthy|Weight Gain|Alcohol Drinking|Smoking Behaviors|Healthy Nutrition|Healthy Lifestyle|Healthy Eating Index",BEHAVIORAL: App Promoting Healthy Behaviours,University of Manchester,Manchester University NHS Foundation Trust,FEMALE,ADULT,NA,35,OTHER,INTERVENTIONAL,11/3/2022,3/10/2023
NCT05056350,RECRUITING,Breast Cancer,OTHER: Questionnaires|OTHER: back to work coaching,Institut du Cancer de Montpellier - Val d'Aurelle,,FEMALE,"ADULT, OLDER_ADULT",NA,25,OTHER,INTERVENTIONAL,9/13/2021,8/22/2023
NCT05726175,NOT_YET_RECRUITING,Breast Cancer,DRUG: Disitamab Vedotin|DRUG: Penpulimab,West China Hospital,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,20,OTHER,INTERVENTIONAL,3/1/2023,8/31/2024
NCT05749575,RECRUITING,Breast Cancer,DRUG: Chidamide Plus Toripalimab Plus Paclitaxel,Sun Yat-sen University,,ALL,"ADULT, OLDER_ADULT",PHASE2,28,OTHER,INTERVENTIONAL,2023-02,2024-08
NCT04584775,UNKNOWN,Advanced Cancer|Lung Cancer|Breast Cancer|Colo-rectal Cancer|Pancreas Cancer|Cholangiocarcinoma|Quality of Life|Symptoms and Signs,"OTHER: Treatment modalities of Traditional Chinese Medicine (Acupuncture, Chinese herbal medicine, Tunia, Chinese dietetics)|OTHER: Standard care",Medical University of Graz,,ALL,"ADULT, OLDER_ADULT",NA,80,OTHER,INTERVENTIONAL,2021-02,2022-07
NCT04784715,ACTIVE_NOT_RECRUITING,Breast Cancer; HER2-positive; Metastatic,DRUG: Trastuzumab deruxtecan|DRUG: Placebo|DRUG: Taxane|DRUG: Pertuzumab|DRUG: Trastuzumab,AstraZeneca,Daiichi Sankyo,ALL,"ADULT, OLDER_ADULT",PHASE3,1157,INDUSTRY,INTERVENTIONAL,4/26/2021,12/30/2029
NCT04763915,RECRUITING,Inherited Cancer Syndrome|Prostate Cancer|Colorectal Cancer|Endometrial Cancer|Breast Cancer,OTHER: Correlative Studies (Survey)|OTHER: Correlative Studies (Interview)|BEHAVIORAL: GeneSHARE|BEHAVIORAL: LivingLabReport|BEHAVIORAL: Standard-of-care & Adaptive Intervention|OTHER: Access to Education Materials,Vanderbilt-Ingram Cancer Center,National Cancer Institute (NCI)|University of South Florida,ALL,"ADULT, OLDER_ADULT",NA,720,OTHER,INTERVENTIONAL,8/5/2022,2028-12
NCT05173415,RECRUITING,Breast Cancer,DEVICE: Sirius Pintution|DEVICE: HydroMARK (C) Clip,Constanze Elfgen,,FEMALE,"ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL,8/1/2023,2025-01
NCT05425550,RECRUITING,Breast Cancer,DEVICE: mediduxâ„¢ app,Palleos Healthcare GmbH,mobile Health AG,ALL,"ADULT, OLDER_ADULT",NA,585,INDUSTRY,INTERVENTIONAL,8/29/2022,5/31/2024
NCT04779450,UNKNOWN,Breast Cancer,OTHER: Kinesiotherapy protocol|OTHER: Usual orientations,University of the State of Santa Catarina,,FEMALE,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,8/1/2021,2021-12
NCT05935150,RECRUITING,Breast Cancer|Clinically Assessed Negative Axillary Lymph Nodes|Sentinel Lymph Node,PROCEDURE: Omit SLNB,The First Affiliated Hospital with Nanjing Medical University,,FEMALE,"ADULT, OLDER_ADULT",NA,311,OTHER,INTERVENTIONAL,6/21/2023,10/1/2027
NCT05415215,ACTIVE_NOT_RECRUITING,Early Breast Cancer|Locally Advanced Breast Cancer|Inflammatory Breast Cancer,DRUG: Fixed Dose Combination of Pertuzumab and Trastuzumab for Subcutaneous Use (PH FDC SC)|DRUG: Pertuzumab IV|DRUG: Trastuzumab IV|DRUG: Trastuzumab Emtansine|DRUG: Investigator's Choice of Chemotherapy|PROCEDURE: Surgery|RADIATION: Radiotherapy,Hoffmann-La Roche,,ALL,"ADULT, OLDER_ADULT",PHASE3,346,INDUSTRY,INTERVENTIONAL,7/5/2022,9/25/2025
NCT05374915,RECRUITING,Cutaneous Breast Cancer,COMBINATION_PRODUCT: REM-001 photodynamic therapy,"Kintara Therapeutics, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE2,15,INDUSTRY,INTERVENTIONAL,2/12/2024,12/31/2024
NCT04267315,ACTIVE_NOT_RECRUITING,"Post-mastectomy Pain Syndrome|Myofascial Pain Syndrome|Trigger Point Pain, Myofascial|Breast Cancer",PROCEDURE: Trigger point injection|PROCEDURE: Subcutaneous saline injection|OTHER: Comprehensive Rehabilitation program,Instituto do Cancer do Estado de SÃ£o Paulo,Hospital de CÃ¢ncer de Barretos,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,72,OTHER,INTERVENTIONAL,1/3/2020,2/15/2024
